"Product Name","Installed Base Track","IP Type","Product: Created Date","Product Family","Product Group","Product Family Group","Product Service Group","Sibex Name","AARO Code","Business Area","Business Responsible","Product Group Description","Item Group","Item Group Description","Active (Product)","Product Code","Movex Part Number","Oracle CPQ Cloud Part Number","Status","Movex Full Description","Product: Created By"
"MRT 7751, SL25 STD APPL. SET","Yes","Part","10/7/2016","Linac","EOS2","Oncology","LINAC ELECTRON APPLICATOR","APPLICATOR STANDARD SET","EOS5","200","DIV200","EOS Service And Spares Parts","301","SL & SLI Linac","1","1527484","1527484","MRT 7751","Released","MRT 7751, SL25 STANDARD APPLICATOR SET","Movex IntegrationUser"
"MRT 27212, APPL ASSY 20 X 10","Yes","Part","10/7/2016","Linac","EOS2","Oncology","LINAC ELECTRON APPLICATOR","APPLICATOR 20X10","EOS5","200","DIV200","EOS Service And Spares Parts","301","SL & SLI Linac","1","1527521","1527521","MRT 27212","Released","MRT 27212, APPLICATOR ASSEMBLY 20 X 10","Movex IntegrationUser"
"MRT 27222, APPL ASSY 25 X 25","Yes","Part","10/7/2016","Linac","EOS2","Oncology","LINAC ELECTRON APPLICATOR","APPLICATOR 25X25","EOS5","200","DIV200","EOS Service And Spares Parts","301","SL & SLI Linac","1","1527523","1527523","MRT 27222","Released","MRT 27222, APPLICATOR ASSEMBLY 25 X 25","Movex IntegrationUser"
"MRT 27232, APPL ASSY 10 X 6","Yes","Part","10/7/2016","Linac","EOS2","Oncology","LINAC ELECTRON APPLICATOR","APPLICATOR 10x6","EOS5","200","DIV200","EOS Service And Spares Parts","301","SL & SLI Linac","1","1527524","1527524","MRT 27232","Released","MRT 27232, APPLICATOR ASSEMBLY 10 X 6","Movex IntegrationUser"
"MRT 27161, APPL ASSY 14 X 6","Yes","Part","10/7/2016","Linac","EOS2","Oncology","LINAC ELECTRON APPLICATOR","APPLICATOR 14X6","EOS5","200","DIV200","EOS Service And Spares Parts","301","SL & SLI Linac","1","1527552","1527552","MRT 27161","Released","MRT 27161, APPLICATOR ASSEMBLY 14 X 6","Movex IntegrationUser"
"MRT 27171, APPL ASSY 16 X 8","Yes","Part","10/7/2016","Linac","EOS2","Oncology","","","EOS5","200","DIV200","EOS Service And Spares Parts","301","SL & SLI Linac","1","1527555","1527555","MRT 27171","Released","MRT 27171, APPLICATOR ASSEMBLY 16 X 8","Movex IntegrationUser"
"MRT 27181, APPL ASSY 20 X 6","Yes","Part","10/7/2016","Linac","EOS2","Oncology","LINAC ELECTRON APPLICATOR","APPLICATOR 20X6","EOS5","200","DIV200","EOS Service And Spares Parts","301","SL & SLI Linac","1","1527557","1527557","1527557","Released","MRT 27181, APPLICATOR ASSEMBLY 20 X 6","Movex IntegrationUser"
"HDRE APPLICATOR ASSY","Yes","Part","10/7/2016","Linac","EOS2","Oncology","","","EOS5","200","DIV200","EOS Service And Spares Parts","301","SL & SLI Linac","1","1527626","1527626","1527626","Released","HDRE APPLICATOR ASSY","Movex IntegrationUser"
"MRT 27201, APP SET 4 CIRCULAR","Yes","Part","10/7/2016","Linac","EOS2","Oncology","LINAC ELECTRON APPLICATOR","APPLICATOR SET 4 CIRCULAR","EOS5","200","DIV200","EOS Service And Spares Parts","301","SL & SLI Linac","1","1527675","1527675","1527675","Released","MRT 27201, APPLICATOR SET 4 CIRCULAR","Movex IntegrationUser"
"MRT 0141 CODED SHADOW TRAY STD","Yes","Product","10/7/2016","Linac","EOS2","Oncology","LINAC SHADOW TRAY","SHADOW TRAY - STD","EOS5","200","DIV200","EOS Service And Spares Parts","301","SL & SLI Linac","1","1527749","1527749","MRT 0141","Released","MRT 0141 CODED SHADOW TRAY STANDARD","Movex IntegrationUser"
"MRT 0151 CODED SHADW TRAY SHRT","Yes","Product","10/7/2016","Linac","EOS2","Oncology","LINAC SHADOW TRAY","SHADOW TRAY - SHORT","EOS5","200","DIV200","EOS Service And Spares Parts","301","SL & SLI Linac","1","1527752","1527752","MRT 0151","Released","MRT 0151 CODED SHADOW TRAY SHORT","Movex IntegrationUser"
"MRT 16661, HDRE KIT, RIC","Yes","Product","10/7/2016","Linac","EOS2","Oncology","LINAC HDRE HW","HDRE HW","EOS5","200","DIV200","EOS Service And Spares Parts","301","SL & SLI Linac","1","1528299","1528299","MRT 16661","Released","MRT 16661, HDRE KIT, RIC","Movex IntegrationUser"
